Shop name,Review,Stars,Date,Country
myfavouritecousin,I needed help with understanding the SEO changes and Divya was so patient with my basic understanding and getting my head around the changes . Highly recommend - she went above and beyond what I expected .,5,28-Mar-22,Australia
Traffic Control Training Perth,I was assisted quickly and thoroughly. Thanks,5,28-Aug-17,Australia
Rexflo,"Great for advice for rexflo.net, your fast and friendly store for Gelid, Rexflo, and Zowie products.  -- REXFLO.NET",5,25-Oct-16,United States
Sustainthefuture Com,Very good job! Excellent communication! Results as promised! Thank you!,5,18-Aug-16,United Kingdom
Ahb Trading,"nice application, it helps me to sort it out all seo problems",5,20-Jan-17,India
Tipcup,Confidence booster and excellent analytics,5,14-Jun-17,United States
Your Natural Beauty & Remedy Store - Plant Essentials,"great product, excellent service...very very happy with outcomes so far.",5,9-Sep-14,Australia
Electric Bike N Sk8,"So far, so good. I have only just installed it and found it to be helpful",5,12-Jun-17,Australia
Alpha Grooming,This is a great app & has proven really useful for us.,5,27-Jan-17,United Kingdom
CARB-CARE USA,just added this app and is working wonders for me,5,12-Feb-15,United States
Yadiggit,A great app to give you insights into your most basic SEO errors for beginners,5,27-Sep-16,United States
Simple Natural Design,"Nice, easy to use essential app!",5,24-Jan-17,United States
Tryhappytea,awesome app! helps to identify ways to optimize your SEO for free!  highly recommended to any Shopify user.,5,1-Sep-16,United States
Victory Leaf,"Quick and easy to setup, love the guidance from the platform on what changes to make and suggestions of what keywords to leverage.",5,20-May-21,United States
Fitness4life,"I am extremely satisfied with the work provided by Daniel at Plug in SEO and definately have seen his work pay off ten-fold in the second week. For any person that is new to e-commerce I believe this is a must and you will see increased traffic and sales, I have and I am extremely happy. Fantastic job and for those that don't think search engine optimization SEO is necessary,trust me it's worth every penny and that is just my 2 cents",5,2-May-13,United States
Øristeriet,Best money I have ever spend. Thanks Daniel ;),5,17-Oct-13,Denmark
Aliensolar,Nice app for SEO monitoring for your store at shoplfy !,5,25-Nov-17,India
Ashleykaric,If you're just getting started with SEO then get this app. It is a huge time-saver and will show you where you are going wrong.,5,13-Sep-17,United States
Moda London,"Fantastic app, great for beginners and intermediate users alike.
Really helped us improve our SEO.
Would recommend to everyone.",5,29-May-16,United Kingdom
Trail Forty,Stay on top of your website health with this app!,5,8-Mar-18,United States
Kantara | Moroccan Rugs,I've only gotten the analysis back but I'm happy with the high-touch and customized analysis of where I can tighten up my operations to improve SEO and speed of my website.,5,13-May-20,United States
Magpul stock,Plug in SEO is a nice app that we use to manage our store's Meta Data. So far so good. Thanks Plug in SEO for the great free app!,5,25-Jan-15,United States
Designed Eyewear,A great app which reviews your site and tells you which seo improvements you should make.  If you dont check the app on a regular basis it automatically emails you with suggested seo improvements which is a great reminder.,5,13-May-13,United Kingdom
LM Créer avec coeur,"super application de SEO. simple à utiliser. Même sans rien connaître, cela aide beaucoup. je recommande vivement ne serait-ce que pour l'audit.",5,"Edited April 15, 2021",France
Finer Gifts,Thank you for this app. I love it!,5,16-Nov-16,United States
Café de America,"I have gotten all of my products up to snuff with this plug-in. It's simple and the tools let me know what I'm doing wrong. Overall, simply using this and striving to achieve the highest SEO ratings have given my product pages a really professional feel to them.",5,14-Oct-20,United States
Keywebco,nice app i was able to use it fast and easy,5,17-May-17,United States
Wildchildoutdoor,Very easy to use. Would recommend for any store.,5,13-Apr-16,United Kingdom
RESET,"Great app and the support team is amazing, very helpful and quick to answer. Thank you so much guys for your work. I highly recommend!",5,21-Jul-21,Luxembourg
Yala Jewellery,So far so good! Fantastic app to show what isn't optimised and how to fix it. The extra support to get up and running has been excellent and the how to guides made it even easier. Looking forward to seeing how the changes lead to improvements. 10/10 would recommend.,5,16-Oct-21,United Kingdom
Undergroundbarber,"Great app, #Beard #Hair searches",5,2-Jan-17,United Kingdom
Nirvana Chocolat by Melinda Leigh,"This app is fantastic, easy to install &  understand what's needs to be fixed. I would recommend it.",5,"Edited September 20, 2018",United Kingdom
Gateshop Inc,Just started and don't know how to report. Why rating come in very beginning?,5,12-Jul-17,United States
Worldorganicsdirect,"Thanks Daniel and Luke.  Once I figured out how to communicate with you ( My error!), your work was fast and accurate.  I'll be checking back in the future once we get stuck again.  Thanks for your expert help. :)",5,6-Oct-16,United States
Horse in the Box,"Very professional, helpful and easy to follow. I will ask for your help again when needed. Thank you",5,24-May-20,Australia
Saddest Alive,"Very helpful and easy to use. Every time I set up the app and find something new, not only does it tell me exactly what I can fix but also recommends/shows me how.",5,19-Aug-17,Canada
Claires Closet Llc,Everything checked out okay on my website. Good place to start!,5,12-Sep-16,United States
Kulorcases,Great tool. It has helped Kulor Cases to check our onsite SEO settings.,5,13-Sep-17,United States
Luvejuice Limited,so far so good - luvejuice.com,5,23-Oct-16,United Kingdom
Thebusinesscardstore,Great service and product. Highly recommended!,5,26-Sep-16,United Kingdom
Nicholas Bennett,Good simple user-friendly SEO checker; what more could you want?  And still going strong 12 months later! Recommended by all of us here at https://thesolidbarcompany.com/,5,"Edited February 20, 2017",United Kingdom
The Lug Nut Source,"I've used Plug-in SEO on a couple sites that I have built, and then now on my own personal web store. Easy to use, and really helpful. I will be going for the complete SEO fixes here soon and expecting good things.",5,6-Oct-16,United States
Malcolm Roycey,"Helped me fix my SEO issues. Great, thanks",5,21-Sep-16,United States
Uniquerugstore,Great app. Receiving seo reports weekly.,5,27-Feb-16,United States
Testdenmark,"Very nice app, shows relevant suggestions for you to optimize your website.",5,22-May-16,Denmark
Panoverse,"Really useful stuff by helping to solve SEO problems, which is an endless fight. :)",5,12-May-17,Hungary
Barndoor Floral,Great app!!  Results are very simple to read and navigate through.,5,25-Oct-16,United States
Royal Beggars Apparel,It helped me alot get my SEO under control without having to trying to struggle to learn it. very simple and easy to use,5,16-Sep-21,United States
Duncan Quinn,"Haven't really had a chance to see how this app performs yet but their customer service was great! I was nervous to mess with the Shopify coding for fear of screwing up the website and how it functions-- their team went in and installed it all for me, woke up the next morning and it was ready to go! Fantastic. Thank you!",5,29-Jan-19,United States
Fellow Fan,Very helpful app - highly recommended!,5,25-Sep-16,United Kingdom
Alpaca Direct Dev,Great tool to quickly identify key SEO issues that really can make a difference in  how our site is indexing with the search engines.  Doesn't bury you with a lot of excess clutter.,5,18-Oct-16,United States
Egret Bay,Love this app its been really helpful with learning to speed up my website and writing good blog posts :),5,16-Dec-17,United Kingdom
Technical Pro 2,Very help in increasing my google traffic,5,21-Sep-16,United States
Monstro Designs,Ive had this app installed since I first opened my store and its always been a great way to see whats going on behind the coding. I really enjoy the ease it has in showing you what needs to be fixed so I can make those adjustments for the SEO on my shop. Thank you!,5,23-Jan-19,United States
Australian Opal Cutters and Pearl Divers,Very simple and informative. I tried because of the large number of reviews. worth it...but it did say FREE forever on the review..not sure if that is the case once downloaded.,5,8-Nov-20,Australia
Yoisho House,"Very easy to use, just install and check your site' status once in a while to see if there's any problems. Great app!",5,25-May-16,Australia
Life Behind Handlebars Crate Club,Very happy with the help. It already improved my visitor and retention rate!,5,26-Jun-18,United States
The Dasherie,"Realy great app. The free analysis gave me insights I could never have come up with myself.  So many apps say ""Oh you have all these problems, send money now and we will fix them!"" but Plug in SEO gives you the problems AND advice on how you can try to fix them yourself, along with the option to pay for a proper consultation.  And Daniel was beyond helpful by email, I would absolutely recommend this app to anybody.",5,14-Nov-13,Ireland
Chair Exercise,Best Shopify app I've ever used. Great customer service. Works well for StrongerSeniors.com,5,"Edited May 12, 2017",United States
Life Therapy,"Great SEO app to show what needs to be done.  Some things you can do on your own or it shows how to outsource.  Either way at least you have a starting point. 
I would recommend this. 
www.lifetherapeutic.net",5,17-Jul-18,United States
"Blissani: Vegan-Friendly, Cruelty-Free Skincare","Very helpful team and effective app.  Responsive when I needed them, when another (different) app was affecting my store.  Plug in came to the rescue.  Thanks y'all.",5,19-Feb-23,United States
Numershop,"Easy to use, I like it and I recommend it",5,12-May-17,Spain
Lux and Lovely Boutique,Love how simple this is to use and it starts giving you great info right away.,5,12-Feb-15,United States
AleHorn - Viking Drinking Horn Vessels and Accessories,I used it to clean up a lot of old and bad things on our site AleHorn - Viking Drinking Horns and Accessories. Love the step by steps and ease of use. Great app and highly recommended for new or old sites,5,"Edited July 23, 2021",United States
Its A Girlz World,"Great app! New store owner, and this helped me,Thank you",5,1-Nov-17,United States
Fitnesshealth,Real great plugin easy to use and straight to the point.,5,12-Oct-16,United Kingdom
Double D Traders,Great team and they completed the work in an efficient and timely manner. Will definitely use them on future projects.,5,16-Sep-17,United States
Tuctite Holsters,Awesome!   Really helped our store.,5,21-Oct-16,United States
Third Jersey Tees,A great deal of help from someone who knows very little about SEO,5,14-Oct-16,Canada
Flower City Soap Company,"Thank you so much, Divya! I have tried so many ""experts"" in the years gone by and no one has ever given me so much information or helped guide me to fix page titles, keywords, etc! So much appreciated!",5,3-Feb-22,Canada
Nabu Online,"Can't say enough great things about this app. I'd been tearing my hair out trying to change Meta Tags etc on my theme.liquid file, and I had no idea how my site was doing in terms of SEO. The great thing about this is it's free, and once installed it's so easy to use. It even includes the snippets to copy and paste (although be advised, possibly not all the problems but it certainly helps) for certain areas, i.e. I had duplicate title tags etc, and it gave me the snippet to rectify the problem. Now my site is all green ticked with no problems with the SEO, and i would recommend this app to everyone.",5,"Edited March 5, 2020",United Kingdom
Drongineering,Amazingly Helpful!  Saves Money! Great App,5,15-Jan-18,United States
Lulyfashion,The best app! Tanks so much!,5,26-Jan-18,Switzerland
Beastyera,"The is great and easy to use, offers you the choice of getting professionals help to fix problems for you without you having to stress about fixing it yourself.",5,22-Oct-16,United Kingdom
Zerofa,"Just starting the app, but so far so good!",5,21-Jun-17,United States
Wise Fool,"Great info, much needed behind-the-scenes to generate traffic!",5,22-Oct-16,United States
Marcella Co,I have been with WIX for many years and also tried other web platforms. But my experience with WIX has never been a disappointment. I have always been pleased with there platform and their service. I recently had the opportunity to have them service my Plug in SEO for my site and am very pleased with the outcome.,5,"Edited March 31, 2016",United States
Sanggol,"This app is amazing! Step by step instructions tio improve my site was exactly what i needed and this app has given me all of the information I needed and I am still on the free trial. I have to give a big shout out to Libby, She has been amazing and incredibly responsive even when i asked stupid questions!. I am definitely upgrading to the paid app. Thank you so much. Can't wait for the improvement in sales!",5,"Edited January 1, 2022",United Kingdom
Genucel Skin Care,Very good plugin! Support has been extremely responsive and have helped a lot. I will continue to use Plug In SEO.,5,12-Apr-23,United States
Ramp Champ,Very easy to use and has some powerful insights to help boost SEO,5,2-Jul-17,Australia
M1mequipment,"Plug in Seo has been tremendous for our site. It is a very useful tool for our website that allows us to manage our speed, blogs and SEO issues. We also recently upgraded to the Plug in SEO Plus. Daniel helped us with the installation and kept us updated the whole time. Looking forward to see how better we are going to perform going ahead. I highly recommend this app for your website.",5,11-Aug-16,United States
Tasmanian Guitar Tonewoods,Great insights into how our site is ranking and notifies us regarding areas that require improvement.,5,21-Apr-16,Australia
Buglet,Easy to install...great feedback.  Awesome customer service so far!,5,28-Mar-15,United States
r. h. ballard shop,Great App.  Love getting notices re. issues that are good as well as those needing fixes.  Recommended.,5,6-Mar-15,United States
J J Distribution,Great app  smart designer.  I just with i was smart enough to understand what it all means!,5,20-Mar-16,United States
Heart Sew By Michael Thomas,Awesome app! Between Google Webmasters tool and this app I know exactly what's wrong with my storefront and exactly how to fix it.,5,24-Jun-16,United States
Blaze Case,Great App. Gave us good insight into the SEO of our store. We took our time to work through all the issues the app raised and now seeing the benefits.,5,3-Feb-16,United Kingdom
B For Baby,A great app to help you find the solution to any issues on your website which might be affecting your SEO.,5,13-Oct-16,United Kingdom
Hayabusa Fightwear Australia,its a quite handy tool to use! waiting for the outcome:),5,25-Oct-16,Australia
Handicraftsvillauk,It's an amazing app to use. Very helpful.,5,2-Aug-18,United Kingdom
Mettadali,Great easy to use SEO app. Thanks!,5,14-Oct-16,United States
Midnight Raver Clothing,"It works better when you use their paid features. But it's a helpful free app, for sure!",5,27-Sep-16,United States
Oral Breeze,Absolutely great.  Get this program.,5,31-Mar-17,United States
Doctor' Choice Coffee,Very helpful App . Works very well and gives you clear explanation and solutions of your SEO issues. Highly recommended.,5,4-Mar-15,United States
The Avid Seamstress,"This app was exactly what I was looking for. I had built my website on my own and needed someone to do a run through of any SEO / Meta Descriptions / Page titles etc to see if there were any errors. The way the issues are shown is great, the app even shows you how to fix the errors yourself. A great APP and I think every website needs this as a step to creating your own website properly!",5,6-Dec-15,United Kingdom
Lynktec,"""Nailed it! Tone was right for our brand, they selected the right products and images - all in all, a great blog post! All we had to do was press Publish. Thanks, guys!""",5,3-Dec-18,United States
Party Expert,Make life easier when you have a lot of products to do. Wish we could customize using drag and drop but it is still worth it,5,27-Jun-19,Canada
Nusups Llc,Hey man! I hope you guys got my email and we can work something out. Your app is actually really good. The User interface makes it a lot easier for less tech savvy people. I hope we can work something out so you can help me with http://www.nusups.com,5,15-Dec-15,United States
Studio Lbw,Easy Install. Works great. Thank you,5,5-Jul-16,United Kingdom
classic-sports-journal.com,"My store is still a work in progress...but that's where Plug in SEO comes in handily - highlighting where my focus should be. Nothin' like direction, insights, and suggestions/cautions! Newbies need help navigating SEO's nuances. This app gives us much needed confidence! One more note - these folks are quick to respond and address necessary issues. They are an absolute joy to work with.",5,"Edited May 11, 2021",United States
RedKitty Industries,Plug in SEO helped me make major and minor tweaks to my website with fantastic fixing instructions and an option for a professional to fix it for you.  Great customer service and extremely helpful app!,5,16-Apr-15,United States
Honey Badger®,Delivered in a timely manner. Implemented a straight forward strategy that should optimize our SEO. Highly recommend.,5,12-Sep-20,United States
Rainbowvapes,"Good free app, brought up an odd problem which we didn't know we had and spotted it straight away so was worth down loading",5,24-Sep-16,United Kingdom
The Apparel Effect,It's amazing that such great handy SEO tips are only an app away - and free too! The ability to get the fixes done by a pro through the app is also a bonus and an awesome time saving feature.,5,17-Oct-16,Australia
Antoni Manuel,Easy to install and even easier to use. Glad I found this app as it helps me utilise how to get the best out of seo for my business.,5,31-Jul-14,United Kingdom
The Natty Nomad,Great app so far. Seems to work.,5,11-Jun-17,United States
cudodi.com.au,I used this app to organize my store's SEO. I use the free version and it has been very helpful. I am learning a lot. I will upgrade to paid in the near future as my biz progresses.,5,14-May-22,Australia
Yourturnekeystore 76,Super app to find the small bugs in your store! Got me fixed up in no time!,5,6-Jul-16,United States
Sydney Hi Fi Mona Vale,"Fantastic. Honestly this APP is a must have for all stores. It's FREE, easy solutions and super fast fixes with the option to have some one do it (At a cost). Though the Tips and information they provide, you can easily make the changes. Seen a huge improvement from this app, well done!.",5,28-Sep-16,Australia
Generalstoreproducts4u,simple and effective SEO fixes for ranking with google,5,1-Oct-16,United States
Him Gem,We love using this app at www.himandgem.net and will forever be using it in the future!  It helps us out a lot with correcting things we didn't notice!  Thank you!,5,20-Sep-16,United States
Recwood,"Daniel was on top of it so fast so that it seemed it may have been a robot but it wasn't. I highly recommend, and I'm excited to see th results!!",5,8-Mar-17,United States
Coutureonly,"Very useful SEO tool.
Instantly analyzes the site and give you a clear and precise problem report, along with how to fix it recommendations.",5,14-Oct-16,United States
Bonita Supply,So far so good. Working perfectly.,5,19-Sep-16,United States
Glow To Grow,Great app and better customer service. They have been attentive and helped me fix all of the errors from my initial site. Looking forward to seeing how this will improve my traffic. Would definitely recommend for someone who is just starting out with limited knowledge of how SEO works. Thank you!,5,6-Jan-22,United States
High Camp Flasks,Loved it! It worked really great for us for optimizing our site for seo. I would definitely recommend,5,29-Jul-20,United States
Authentic Bags Only,"This app is pretty great , it’s nice to just click and check seo on the spot. Thank you. AuthenticBagsOnly.com",5,"Edited December 26, 2018",United States
Beauty Affairs,Just started using this app and had exactly what I needed which was bulk meta title/description templates for all different types of pages. The team also helped me connect to the store and checked everything was working. This is the type of support every business needs!,5,10-Aug-20,Australia
Fortist,great customer service. thank you :) makes it easy,5,19-Nov-17,Canada
Live Your Life Gear,Awesome app! Looks great so far we love the dashboard and it's very easy to use.,5,28-Sep-16,United States
Umov,"After checking my site speed on several different website monitors I noticed it was taking wayyyy to long for my site to load, especially for mobile users and it was affecting my bounce rate and sales!",5,31-Mar-16,Canada
Yuified,This is a great app that is also FREE!!! Very informative and helpful hints to improve your website in terms of SEO.,5,20-Aug-15,Australia
Purchoo Inc,Simple to use and very quick to add value.  We already knew where we needed to work to improve SEO but this shed light on a few others we didn't know about.,5,3-Feb-16,United States
Mobiwod,"We used The most expensive plan, and we are very pleased with the results. The were very fast answering our question and also gave us suggestions.",5,31-Mar-16,United States
West Kent Supplies,Simply amazing! Great software which is very easy to use even for beginners and helps to oresolve most simple SEO issues and agreat guide.,5,26-Jun-19,United Kingdom
MOONEH LLC,I used this app for my online store SEO optimization and it was perfect. I was very happy with the service and recommend it to everyone,5,25-May-22,United Arab Emirates
Fire Pit Grills,Awesome app. Thanks so much! Love this app.,5,"Edited March 8, 2015",United States
Dilaras Babybekleidung,super friendly and fast communication. extremely helpful with tips and also in implementation. highly recommended.,5,27-Oct-21,Austria
Herisshop,Just start using it.  It is easy to use.,5,22-Jul-17,Singapore
The Sparkle Place,The Best SEO App for your Shopify Store.,5,1-Oct-17,United States
Soulscented,"All the heavy lifting is done by this awesome and intuitive product. Thanks a million, billion. Best",5,"Edited February 12, 2020",Australia
Gmarley,It's free - Works great - Can never complain when it's free!,5,18-May-16,Australia
Kick Talent,Amazing service and support. Helped me fixed my SEO issues within hours which helped improve my website. Recommended!!,5,28-Oct-21,United States
Raw Peaks,"Simple app, which provides an easy way to find issues with your SEO. Still yet to benefit from the changes I've made to my SEO, but it's good to have something that realises the mistakes for you.",5,29-May-16,United Kingdom
Realdosenutrition Aus,This App really help us to do an SEO audit in our site.,5,11-Sep-17,United States
Divvastyle,I find this app very useful when working on and understanding  my site's SEO.  It has helped me improve my site a great deal.,5,"Edited January 4, 2017",United States
The Downtown Dachshund,"Absolutely useful,,,,,,,,,,,,,,has been my go to for all the websites that I manage, build contest for etc.",5,20-Sep-16,United States
Saltedliving,"Excellent instructions - for a total newbie, I managed to follow these directions easily.",5,7-Aug-18,United States
Aluminati Guitars,"Very insightful, use it to make sure every page is as findable on the web as possible. Thanks!!!!!!!",5,5-Nov-18,United States
Soul Collection’s Sewing Lounge,I just started using this app but so far it has been very easy to fill out the questions to help with the SEO plus. Looking forward to results.,5,26-Nov-19,United States
Cru Wine Furnishings,Easy to understand and offers helpful suggestions to fix the issues it finds.,5,7-Dec-16,United States
Mindset The Brand,I had zero understanding of SEO this app has and is continuing to help me learn how to optimize my store to be a successful as it can be.,5,17-May-20,United States
Thriftybox,"Awesome app, got everything fixed on my site. 5*",5,22-Sep-16,Australia
MoonBox,Good app. Quickly routes out basic SEO issues and enables the solution. Prefect for debugging.,5,24-Sep-14,United Kingdom
Kreative Accents,"This is a great app and it scanned my site in seconds  Although its free, the functionality is invaluable. Thanks for offering this free app.",5,30-Jul-14,United States
Chiemseegarn,Hilfreiche App die auf verschiedene Probleme aufmerksam macht und bei deren Behebung hilft. Nutze nur gratisversion.,5,27-May-19,Germany
Ketogourmet,Very good service and feedback. They help me to fix my SEO and position my page better. They have also given me tips to improve my SEO. I recommend it 100%,5,21-May-19,Spain
Bend Brothers,"The app is really well set out it it helps me understand the issues not just fix them, i highly recommend it.",5,"Edited October 6, 2018",Australia
Littles Boutique,So cool! littlesboutique.net is gonna be perfect in no time!,5,13-Oct-16,United States
R2 Western,"Can't beat this app. Not only does it tell you what is causing SEO and speed issues, it tells you exactly how to fix them.",5,1-Jul-16,United States
Striv4 Clothing,Really Nice App. It helps me a lot,5,13-May-17,Canada
Tie Shop Roma,"Amazing, and to the point. You can tell by the way the app works that the people behind this are honest hard-workers who deserve success. Thank you so much, we really appreciate.",5,6-Oct-16,Italy
My Foxy Leather,"I recently started using this app, to assist with the SEO of my website. The app is great and assists in detail with every problem. The staff has been more than helpful in assisting with issues.",5,7-Mar-22,Australia
Migrainev,"I like it!
It is informative and explains what you are missing, why, and how to fix it.
There is a whole lot of jargon if you are new to this, but this app holds your hand without being condescending as long as you're willing to bone up on the basics first.
great app!",5,21-Apr-17,Canada
Sunglasstrend Com,"Great, easy and fast solution. Identified where we needed help. Thank you!",5,25-Feb-16,United States
Unveilmynatural,Great work! Thank you so much.,5,30-Nov-17,United States
Nafraid,i used this app help me fix my plugins which i never would have figured out on my own to get my website up and running,5,14-Feb-22,United States
Sg Style,The app really delves into my website and checks out what could be optimized and done better.,5,12-Oct-16,Singapore
MOIES,"Parece muy buena app, veré junto con el equipo si funciona y de ser así quedará instalada de forma permanente. Es una app estupenda, funciona bien.",5,"Edited May 16, 2020",Spain
Fabuler,Awesome app. Great app for free which help to improve your seo problem in sotre,5,1-Jun-17,India
Parrotoys,Great app!! Highly recommended (:,5,24-Oct-16,Singapore
2ground,"Worthwhile app, highly recommend it!",5,10-Oct-16,Canada
Purelygreat Natural Deodorant,Divya and her team were very organized and provided detailed insight into our onpage SEO. They implemented everything in a timely manner and provided great resources for us to better understand SEO as it directly relates to our site. Thanks!,5,3-Jun-21,Canada
C'EST BRAND,Best SEO Plug In I ever used!!! It helps a lot to optimize your website and create a great content.,5,29-Jan-19,Chile
Tunonim,Great App! Easy to use for anyone looking to solve SEO issues!,5,10-Jul-17,Singapore
Baymoar Com,I just got the app and I am hoping to get a good result from it! This app is very straight-forward and easy to understand. The link to my shop is www.baymoar.com.,5,29-Sep-16,United States
Sunergetic,Quick and easy app that gives you a snapshot of how your store is doing in terms of SEO.,5,22-Apr-16,United States
SoLongOffice,"Great app, even the free plan analyses your shop and tells you exactly how to fix it. If you don't have the technical know how to fix it yourself, go for the paid plan. Perfect!",5,28-Feb-21,Australia
Scripture Wall Art,Talk about easy to use!  I was up and running in a few seconds.,5,9-Oct-16,United States
Tree Hugger Cloth Pads,Works quickly and does what it says :),5,19-Oct-16,Canada
Fancy Tomorrow,"Great support from Libby, after i email them i need more time to find out how to use this app, Libby told me how to chose the Free Forever Plan, thats really helpful, THANKS Lobby...",5,14-Jul-20,China
Grahamprecision,simple and effective! i've used Plug in SEO in the past and starting to use it again. good SEO to start with,5,11-Mar-18,United States
Quartz Audio,Validated some key features that needed to be worked on!,5,5-Oct-16,Canada
Upandatem,"Great App, simple and effective – we recommend it for all our clients  www.echic.com.au",5,22-May-17,Australia
BeerGin,"very nice app I recommend it to all of my friends relatives, co workers employers and all the peoples",5,"Edited November 4, 2019",United States
Ronnie Coleman Signature Series,Very user friendly and the support team is fantastic.  Walked me through the entire install and even did the heavy code related work for me free of charge!,5,19-Jun-17,United States
Kingsbottle Usa,"Well done, great service, fixed the issue quick",5,22-Jan-18,United States
Sunbasilgarden,Thank you for the easy to understand instructions.,5,5-Oct-16,United States
Fire And Fuel Apparel,Incredible app and just as great customer service. They have helped me with a few issues on a couple of occasions. I can't sat enough good thing about this app!,5,26-Nov-13,United States
Earth Fairy,"Easy to install and use, very happy so far",5,10-May-17,Australia
Everdrive Online,"Excellent app! Easy UI, and a perfect fit for any web-store. A must have.. 10/10",5,"Edited May 4, 2017",Canada
sisstrevolution.co.uk,super easy to use and runs in the background - if you need some help upgrade and they are super quick to respond - really helped my rankings,5,14-Jul-22,United Kingdom
Caim Able,"great app - very easy to use, has made a difference",5,1-May-17,Australia
Here Comes The Bling,Easy to use and helpful staff!,5,22-Sep-16,United States
Lazy Days Loungewear,Easy set up but still learning how to fix things. Thank you!  lazydaysloungewear.com,5,24-Oct-16,Australia
Yourturnkeystore 727,nice job in posinting out the error,5,8-May-17,United States
Grace Parkour Clothing,"Great service, fixes and follow up. Luke was very responsive to my questions and we now show up on page 1 or 2 of Google!",5,2-Nov-16,United States
Twelve Barrels,Very good advice to make adjustments on your own. For free!,5,27-Jul-16,Canada
Sportsigns Ca,Great app so far.  Easy to use and free!,5,11-Apr-17,Canada
Retired Soldier Creations,I used this app due to errors I was receiving from my google search account. It had the recommended properties that google asked for to fix issues I was unable to fix on my own. It is pretty easy to understand and the help function to have someone manually install for you is really nice. It helped me to understand SEO and used that knowledge on my website as well. I also hired the Pro to assess and fix SEO problems. The support staff on that project Divya is who I talked with all the time gave great advice and kept me informed along the way of how things were progressing. They fixed my things up for me and taught me some more things. Very happy with the results.,5,"Edited November 24, 2021",United States
Eco by design Gifts,"As someone who is new to this, I have found this app very useful as the customer service is exceptional. I have dealt with Libby and she has provided help with many things that I never new needed to be done and she will definately be my go to from here on in!!",5,8-Jun-21,Australia
Hymns Of Grace,Happy with the results and will use you again for projects. Thank you,5,5-May-18,United States
bambu,"Very responsive. Demonstrated capability and experience with SEO terms and effectiveness. Even though English is not first language, it did not devalue the service they provide. Suggestion to meet was appreciated to properly understand nuances of our business. Recommended.",5,4-Sep-22,United States
Flodele,"Great app, it does the job with solutions if anything was wrong. Highly recommended.",5,24-Aug-18,Australia
NatureRack,Could not be easier! Great app!!,5,1-Jan-14,United States
Clothed With Truth,"I love the Plug in Seo app!  They provide thorough, targeted website analytics data and detailed instructions for suggested improvements. We fixed what we felt comfortable with and ordered the complete speed fix for the intricate corrections.  We were pleased with the documented results, highly responsive support, and great customer service.",5,26-Sep-16,United States
Alpha Force Nutrition,"Great little app which helped me highlight all the issues I have with the website.
Definitely recommend it to everyone looking to greatly improve their SEO.",5,28-Sep-16,United Kingdom
YOORID,"Plugins en phase d'essai, performance à confirmer ultérieurement.          
Plugins en phase d'essai, performance à confirmer ultérieurement.",5,"Edited February 24, 2020",France
Faithhaus,"very helpful, quick response, good for someone like me who's not too experienced in SEO!",5,20-Mar-17,United States
Critical Cycles,For once SEO doesn't feel like a foreign language. This app really helps us manage ongoing tasks and the track the overall improvement of our site.,5,13-Jan-15,United States
Shop Bizzy Bee,"I was a little confused on how to use this app so I emailed them to get some help. I wasn't sure how helpful they would be, but they sent a long, thorough and very helpful reply. I'm now able to use their feedback to improve my store and get some more traffic.",5,16-Nov-22,United States
Rodco Global,"Works well. Simple, easy, effective!",5,23-Feb-18,Australia
Storelli,"SEO Plug In is a GREAT app. Super helpful in showing you the various buckets of work that need to get done (teaches you a lot about SEO), then keeps you in shape on an ongoing basis. Support is responsive and helpful. Definitely highly recommended",5,"Edited June 20, 2018",United States
Sona Stars,Great product helping me with Fixes,5,10-Oct-16,United States
Geek Technologies,This is a MUST HAVE! I installed it on my shopify store http://www.geekfactors.com and it worked like a charm!,5,12-May-16,Canada
Ultimate Sex Toy Shop,Love this APP it gives you quick and easy fixes for SEO,5,20-Sep-16,United States
Mdi Carbon Fiber,"Amazing, must for every starting website and shopping site. Gives you an outlook on how your site is doing that normally is missed using googles search console tools",5,1-Sep-15,United States
Bolton Technical South Africa,Great App for Shopify. I would highly recommend this app for people who want to do this and make there life easier.,5,9-Jul-19,South Africa
Alchemy Heart Lotus,"So far although not knowing much about SEO, Plug in SEO gives me a good feeling.  It ran a diagnostic of my site, and now I just need to figure out how to fix the issues.",5,4-Oct-19,United States
Moto Revere,Stoked on this app. looking forward to using it!,5,18-Oct-16,Canada
Pineapplez,Appreciate the guidance for a newbie to SEO.,5,12-Jun-17,United States
Playing Card Decks,"Just installed. Let us know what areas of our site we can improve search engine performance (i.e. product titles, meta descriptions). Would highly recommend for any ecommerce business.",5,13-Nov-17,United States
Laser Pics & Gifts,Customer service is excellent!  Currently I'm having questions on the work that was performed and Daniel contacted me to go over my concerns.  Hoping to get results!  Looking forward to working with guys.,5,"Edited January 4, 2019",United States
Roller Derby Love,Useful set of tools for me to check my store's SEO,5,12-May-18,United States
Baronga,Amazing app. It defines every detail worthwhile to fix and brings the solution.,5,23-Sep-16,Türkiye
Qwikby,Love the app.  Wish I had been using it before.,5,24-Mar-17,United States
6kubikes,Can't beat free! It's nice to get some quality feedback and best practice reminders.,5,4-Nov-16,United States
Blissful Light,This really is a must have app. It is very easy to install and use. I am not very technical and find this app very easy to use and action any suggestions.,5,3-Jun-15,United Kingdom
